"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
544,"GROW","U.S. Global Investors, Inc.","Financial","Asset Management","USA",55.69,112.73,3.66,-1.48%,87955
545,"GSBC","Great Southern Bancorp, Inc.","Financial","Regional - Southwest  Banks","USA",710.88,13.96,50.35,-0.98%,8093
546,"GSIT","GSI Technology, Inc.","Technology","Semiconductor - Broad Line","USA",162.91,,7.86,1.48%,11491
547,"GT","The Goodyear Tire & Rubber Company","Consumer Goods","Rubber & Plastics","USA",7253.10,11.36,29.13,-0.09%,1129576
548,"GTIM","Good Times Restaurants Inc.","Services","Restaurants","USA",32.99,,2.60,0.00%,11296
549,"GTLS","Chart Industries, Inc.","Industrial Goods","Metal Fabrication","USA",1507.70,,54.56,9.76%,373877
550,"GTXI","GTx, Inc.","Healthcare","Biotechnology","USA",329.14,,15.48,0.13%,26028
551,"GYRO","Gyrodyne, LLC","Financial","REIT - Diversified","USA",28.24,,19.76,0.05%,2
552,"HA","Hawaiian Holdings, Inc.","Services","Regional Airlines","USA",1939.83,7.71,36.85,-1.85%,346774
553,"HAFC","Hanmi Financial Corporation","Financial","Regional - Pacific Banks","USA",1017.60,18.39,31.65,-0.47%,17815
554,"HAIN","The Hain Celestial Group, Inc.","Services","Food Wholesale","USA",3478.18,47.56,33.91,-0.15%,332903
555,"HALL","Hallmark Financial Services, Inc.","Financial","Property & Casualty Insurance","USA",180.13,,10.10,1.71%,860
556,"HALO","Halozyme Therapeutics, Inc.","Healthcare","Biotechnology","USA",2756.71,,19.49,1.30%,682597
557,"HAS","Hasbro, Inc.","Consumer Goods","Toys & Games","USA",12153.91,31.69,97.69,-1.39%,802898
558,"HAYN","Haynes International, Inc.","Industrial Goods","Metal Fabrication","USA",514.64,,41.45,0.44%,18751
559,"HBAN","Huntington Bancshares Incorporated","Financial","Regional - Midwest Banks","USA",17381.99,16.13,16.02,-0.19%,3108480
560,"HBHC","Hancock Holding Company","Financial","Regional - Southeast Banks","USA",4531.82,22.39,53.60,-0.09%,302420
561,"HBIO","Harvard Bioscience, Inc.","Healthcare","Medical Instruments & Supplies","USA",163.78,,4.95,2.06%,48905
562,"HBMD","Howard Bancorp, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",187.56,25.07,18.85,0.00%,6824
563,"HBNC","Horizon Bancorp","Financial","Regional - Northeast Banks","USA",750.84,20.71,29.60,-0.54%,33172
564,"HCKT","The Hackett Group, Inc.","Services","Management Services","USA",529.63,24.65,18.40,0.05%,109666
565,"HCSG","Healthcare Services Group, Inc.","Services","Business Services","USA",3488.47,40.29,47.73,-0.19%,214592
566,"HDNG","Hardinge Inc.","Industrial Goods","Machine Tools & Accessories","USA",236.98,33.89,18.35,0.27%,44397
567,"HDSN","Hudson Technologies Inc.","Industrial Goods","Diversified Machinery","USA",255.24,19.01,6.05,-1.47%,91349
568,"HEES","H&E Equipment Services, Inc.","Services","Rental & Leasing Services","USA",1281.60,36.33,38.38,4.10%,114307
569,"HFBC","HopFed Bancorp, Inc.","Financial","Savings & Loans","USA",101.28,25.62,15.25,-0.62%,2644
570,"HFBL","Home Federal Bancorp, Inc. of Louisiana","Financial","Savings & Loans","USA",57.30,14.21,29.69,0.00%,0
571,"HFWA","Heritage Financial Corporation","Financial","Regional - Pacific Banks","USA",917.30,22.34,31.13,-0.72%,80094
572,"HIBB","Hibbett Sports, Inc.","Services","Sporting Goods Stores","USA",476.04,14.10,25.05,2.24%,180629
573,"HIFS","Hingham Institution for Savings","Financial","Savings & Loans","USA",466.47,18.39,202.46,-7.55%,680
574,"HLIT","Harmonic Inc.","Technology","Communication Equipment","USA",266.55,,3.03,0.83%,102230
575,"HMNF","HMN Financial, Inc.","Financial","Savings & Loans","USA",85.05,20.84,18.90,0.00%,1662
576,"HMNY","Helios and Matheson Analytics Inc.","Technology","Information Technology Services","USA",112.77,,4.90,8.89%,7594631
577,"HMSY","HMS Holdings Corp.","Services","Business Services","USA",1285.77,53.22,15.33,-0.33%,365385
578,"HNNA","Hennessy Advisors, Inc.","Financial","Asset Management","USA",142.26,7.51,18.56,0.95%,8951
579,"HNRG","Hallador Energy Company","Basic Materials","Nonmetallic Mineral Mining","USA",186.59,24.27,6.10,-0.65%,9354
580,"HOFT","Hooker Furniture Corporation","Consumer Goods","Home Furnishings & Fixtures","USA",449.69,14.63,38.00,-1.55%,88952
581,"HOLX","Hologic, Inc.","Healthcare","Medical Appliances & Equipment","USA",10712.89,14.86,39.13,0.72%,829822
582,"HOMB","Home Bancshares, Inc. (Conway, AR)","Financial","Money Center Banks","USA",4120.84,26.21,23.83,-0.29%,197057
583,"HOPE","Hope Bancorp, Inc.","Financial","Regional - Pacific Banks","USA",2508.16,18.23,18.64,-0.53%,73928
584,"HPT","Hospitality Properties Trust","Financial","REIT - Retail","USA",4329.57,18.89,26.73,0.87%,256428
585,"HRTX","Heron Therapeutics, Inc.","Healthcare","Drug Manufacturers - Major","USA",1237.12,,22.75,0.66%,420263
586,"HSIC","Henry Schein, Inc.","Services","Medical Equipment Wholesale","USA",10776.85,19.78,68.54,-0.20%,817007
587,"HSII","Heidrick & Struggles International, Inc.","Services","Staffing & Outsourcing Services","USA",485.55,,25.55,-0.39%,13906
588,"HSKA","Heska Corporation","Healthcare","Medical Laboratories & Research","USA",437.37,32.05,60.91,-0.15%,18803
589,"HSON","Hudson Global, Inc","Services","Staffing & Outsourcing Services","USA",64.74,,2.07,2.48%,50
590,"HSTM","HealthStream, Inc.","Technology","Healthcare Information Services","USA",785.06,142.64,25.19,-0.79%,241393
591,"HTBK","Heritage Commerce Corp","Financial","Regional - Pacific Banks","USA",608.19,26.15,16.23,-0.06%,54327
