"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
389,"EQR","Equity Residential","Financial","REIT - Residential","USA",20509.88,35.61,56.58,1.27%,925847
390,"EQS","Equus Total Return, Inc.","Financial","Diversified Investments","USA",32.43,,2.36,-1.26%,15101
391,"EQT","EQT Corporation","Basic Materials","Independent Oil & Gas","USA",13435.25,29.63,51.24,2.88%,3730275
392,"ERH","Wells Fargo Advantage Utilities and High Income Fund","Financial","Asset Management","USA",111.84,7.41,12.09,-0.12%,11264
393,"ES","Eversource Energy","Utilities","Diversified Utilities","USA",18205.66,18.62,58.01,1.13%,1371863
394,"ESE","ESCO Technologies Inc.","Technology","Scientific & Technical Instruments","USA",1584.93,20.49,61.85,1.23%,19151
395,"ESL","Esterline Technologies Corporation","Industrial Goods","Aerospace/Defense Products & Services","USA",2269.03,32.98,75.95,0.33%,54173
396,"ESNC","EnSync, Inc.","Industrial Goods","Industrial Electrical Equipment","USA",20.60,,0.37,0.38%,190615
397,"ESP","Espey Mfg. & Electronics Corp.","Technology","Diversified Electronics","USA",60.84,24.62,26.90,0.80%,4
398,"ESS","Essex Property Trust, Inc.","Financial","REIT - Residential","USA",14532.10,33.53,223.12,1.35%,251484
399,"ESTE","Earthstone Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",612.02,,9.87,2.60%,48342
400,"ETE","Energy Transfer Equity, L.P.","Basic Materials","Oil & Gas Pipelines","USA",17966.32,15.69,16.83,3.54%,2606465
401,"ETH","Ethan Allen Interiors Inc.","Consumer Goods","Home Furnishings & Fixtures","USA",686.80,18.07,24.90,-1.39%,64804
402,"ETM","Entercom Communications Corp.","Services","Broadcasting - Radio","USA",1395.26,40.64,10.02,-1.72%,554329
403,"ETP","Energy Transfer Partners, L.P.","Basic Materials","Oil & Gas Pipelines","USA",21269.30,30.35,18.95,3.92%,4991492
404,"ETR","Entergy Corporation","Utilities","Electric Utilities","USA",13346.35,,75.70,1.69%,947835
405,"EV","Eaton Vance Corp.","Financial","Asset Management","USA",6532.06,22.96,55.49,-0.09%,302273
406,"EVBN","Evans Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",201.88,19.68,42.36,-0.32%,3682
407,"EVC","Entravision Communications Corporation","Services","Broadcasting - TV","USA",616.50,3.70,6.75,-1.46%,145799
408,"EVI","EnviroStar, Inc.","Services","Consumer Services","USA",395.49,125.00,36.15,-0.28%,7816
409,"EVR","Evercore Inc.","Financial","Asset Management","USA",4103.64,35.24,95.55,0.05%,155127
410,"EVRI","Everi Holdings Inc.","Services","Gaming Activities","USA",502.68,,7.64,3.31%,165767
411,"EVV","Eaton Vance Limited Duration Income Fund","Financial","Asset Management","USA",1531.97,12.49,13.11,-0.30%,134827
412,"EW","Edwards Lifesciences Corporation","Healthcare","Medical Appliances & Equipment","USA",28592.57,46.57,135.17,0.69%,526095
413,"EXC","Exelon Corporation","Utilities","Diversified Utilities","USA",35762.90,9.40,37.44,1.01%,4415970
414,"EXP","Eagle Materials Inc.","Industrial Goods","Cement","USA",5124.20,25.33,103.19,1.58%,143013
415,"EXR","Extra Space Storage Inc.","Financial","REIT - Industrial","USA",10308.12,29.91,83.94,3.00%,508042
416,"F","Ford Motor Company","Consumer Goods","Auto Manufacturers - Major","USA",42713.02,5.58,10.65,0.42%,12213204
417,"FAC","First Acceptance Corporation","Financial","Accident & Health Insurance","USA",47.91,,1.04,-0.95%,1046
418,"FBC","Flagstar Bancorp, Inc.","Financial","Savings & Loans","USA",2040.81,33.44,35.68,-0.36%,37487
419,"FBP","First Bancorp","Financial","Foreign Regional Banks","USA",1289.47,20.84,6.18,0.08%,720148
420,"FC","Franklin Covey Co.","Services","Education & Training Services","USA",360.88,,26.15,0.58%,16555
421,"FCE-A","Forest City Realty Trust, Inc.","Financial","Property Management","USA",5748.20,37.12,22.01,1.01%,340067
422,"FCF","First Commonwealth Financial Corporation","Financial","Regional - Northeast Banks","USA",1385.99,24.69,14.33,-0.28%,125994
423,"FCFS","FirstCash, Inc.","Financial","Credit Services","USA",3511.15,24.50,75.20,1.69%,159893
424,"FCN","FTI Consulting, Inc.","Services","Management Services","USA",1631.77,35.05,46.94,8.71%,286655
425,"FCX","Freeport-McMoRan Inc.","Basic Materials","Copper","USA",27723.96,15.54,19.27,2.91%,8763680
426,"FDS","FactSet Research Systems Inc.","Technology","Information & Delivery Services","USA",7839.86,30.38,202.76,0.74%,77663
427,"FDX","FedEx Corporation","Services","Air Delivery & Freight Services","USA",65401.47,22.37,246.93,1.49%,532756
428,"FE","FirstEnergy Corp.","Utilities","Electric Utilities","USA",14467.80,,33.17,1.24%,2371172
429,"FFG","FBL Financial Group, Inc.","Financial","Life Insurance","USA",1730.55,15.34,70.90,0.21%,6587
430,"FGP","Ferrellgas Partners, L.P.","Basic Materials","Oil & Gas Refining & Marketing","USA",389.56,,4.03,1.13%,60568
431,"FHN","First Horizon National Corporation","Financial","Regional - Southeast Banks","USA",6404.04,28.09,19.56,-0.28%,867793
432,"FICO","Fair Isaac Corporation","Technology","Business Software & Services","USA",5159.86,46.86,172.90,0.33%,61055
433,"FII","Federated Investors, Inc.","Financial","Asset Management","USA",3366.03,16.01,33.49,-0.42%,380990
434,"FIS","Fidelity National Information Services, Inc.","Technology","Information Technology Services","USA",32017.73,24.49,98.72,1.62%,768784
435,"FIX","Comfort Systems USA, Inc.","Industrial Goods","General Contractors","USA",1516.94,23.79,40.95,0.37%,58934
436,"FL","Foot Locker, Inc.","Consumer Goods","Textile - Apparel Footwear & Accessories","USA",5877.22,12.20,48.33,-0.19%,1183588
437,"FLO","Flowers Foods, Inc.","Consumer Goods","Processed & Packaged Goods","USA",4253.61,29.10,20.95,1.11%,587968
438,"FLR","Fluor Corporation","Industrial Goods","Heavy Construction","USA",8063.75,40.22,59.07,2.86%,889347
439,"FLS","Flowserve Corporation","Industrial Goods","Diversified Machinery","USA",5724.67,35.68,44.41,1.44%,449138
440,"FMC","FMC Corporation","Basic Materials","Chemicals - Major Diversified","USA",11275.90,63.02,83.63,1.84%,499310
441,"FNB","F.N.B. Corporation","Financial","Regional - Southeast Banks","USA",4670.05,23.63,14.52,0.55%,1600538
442,"FNF","Fidelity National Financial, Inc.","Financial","Surety & Title Insurance","USA",10841.72,17.26,39.17,0.12%,481866
443,"FOE","Ferro Corporation","Basic Materials","Specialty Chemicals","USA",1845.76,42.25,22.40,1.77%,142622
444,"FOR","Forestar Group Inc.","Financial","Real Estate Development","USA",1042.11,16.63,25.48,0.69%,20349
445,"FR","First Industrial Realty Trust, Inc.","Financial","REIT - Industrial","USA",3355.05,26.43,28.43,0.92%,239338
446,"FRD","Friedman Industries, Incorporated","Basic Materials","Steel & Iron","USA",41.35,,5.93,0.51%,3469
447,"FRT","Federal Realty Investment Trust","Financial","REIT - Retail","USA",8057.59,38.42,114.44,3.00%,141173
448,"FSP","Franklin Street Properties Corp.","Financial","REIT - Office","USA",885.36,,8.48,0.47%,194940
449,"FSS","Federal Signal Corporation","Industrial Goods","Pollution & Treatment Controls","USA",1166.59,27.34,19.60,0.00%,68504
450,"FTI","TechnipFMC plc","Basic Materials","Oil & Gas Equipment & Services","USA",13548.67,152.30,30.73,5.64%,3653656
451,"FTK","Flotek Industries, Inc.","Basic Materials","Oil & Gas Equipment & Services","USA",329.13,,6.08,5.92%,817264
452,"FUL","H.B. Fuller Company","Basic Materials","Specialty Chemicals","USA",2612.69,46.36,52.11,-0.10%,163684
453,"FUN","Cedar Fair, L.P.","Services","General Entertainment","USA",3901.73,18.33,67.97,-2.20%,54979
454,"GATX","GATX Corporation","Services","Rental & Leasing Services","USA",2712.57,15.21,72.28,0.70%,159190
455,"GBL","GAMCO Investors, Inc.","Financial","Asset Management","USA",737.85,9.90,25.82,1.10%,8584
456,"GBX","The Greenbrier Companies, Inc.","Services","Railroads","USA",1503.44,14.38,53.00,-0.09%,249271
457,"GCO","Genesco Inc.","Services","Apparel Stores","USA",753.73,,38.90,2.91%,115391
458,"GD","General Dynamics Corporation","Industrial Goods","Aerospace/Defense Products & Services","USA",65902.71,22.09,221.33,0.26%,297354
459,"GE","General Electric Company","Industrial Goods","Diversified Machinery","USA",125555.85,16.64,14.93,3.00%,41276678
460,"GEF","Greif, Inc.","Consumer Goods","Packaging & Containers","USA",2906.36,23.68,58.95,0.34%,58913
461,"GEL","Genesis Energy, L.P.","Basic Materials","Oil & Gas Pipelines","USA",2552.96,41.01,19.94,-3.34%,439173
462,"GEN","Genesis Healthcare, Inc.","Healthcare","Long-Term Care Facilities","USA",212.50,,1.30,-18.75%,1628058
463,"GEO","GEO Group, Inc.","Financial","REIT - Healthcare Facilities","USA",2592.76,16.28,21.47,2.03%,576512
464,"GES","Guess', Inc.","Services","Apparel Stores","USA",1210.48,,14.92,0.95%,731044
465,"GFF","Griffon Corporation","Industrial Goods","General Building Materials","USA",943.41,31.68,20.60,0.49%,32925
466,"GGG","Graco Inc.","Industrial Goods","Diversified Machinery","USA",7432.40,30.56,44.78,1.13%,297731
467,"GGN","GAMCO Global Gold, Natural Resources & Income Trust","Financial","Diversified Investments","USA",677.70,,5.10,1.19%,241459
468,"GGP","GGP Inc.","Financial","REIT - Retail","USA",20032.76,30.98,21.48,1.78%,1456090
469,"GHC","Graham Holdings Company","Services","Education & Training Services","USA",3262.07,26.46,579.74,-1.01%,12977
470,"GHL","Greenhill & Co., Inc.","Financial","Investment Brokerage - Regional","USA",537.07,,20.15,0.25%,151593
471,"GHM","Graham Corporation","Industrial Goods","Metal Fabrication","USA",199.90,,21.01,0.48%,5757
472,"GIS","General Mills, Inc.","Consumer Goods","Processed & Packaged Goods","USA",31254.09,19.95,55.29,1.49%,1818705
473,"GLOW","Glowpoint, Inc.","Technology","Diversified Communication Services","USA",13.21,2.09,0.28,-1.83%,115654
474,"GLP","Global Partners LP","Services","Basic Materials Wholesale","USA",582.94,,17.07,0.10%,31844
475,"GLT","P. H. Glatfelter Company","Consumer Goods","Paper & Paper Products","USA",897.09,31.89,20.82,0.14%,23413
476,"GLV","Clough Global Dividend and Income Fund","Financial","Asset Management","USA",135.87,7.43,13.04,-0.38%,21357
477,"GLW","Corning Incorporated","Technology","Diversified Electronics","USA",25488.97,,29.40,0.48%,3631666
478,"GME","GameStop Corp.","Services","Electronics Stores","USA",1590.50,4.59,15.72,0.16%,1278895
479,"GMO","General Moly, Inc.","Basic Materials","Industrial Metals & Minerals","USA",47.96,,0.37,-0.86%,112517
480,"GNW","Genworth Financial, Inc.","Financial","Life Insurance","USA",1452.38,1.77,2.92,0.34%,1118946
481,"GORO","Gold Resource Corp","Basic Materials","Gold","USA",254.81,42.38,4.49,0.79%,70418
